Country/area,Technology/source,Year,Value_TWh
Austria,Biogas,2020,0.0015287354338484275
Austria,Biogas,2021,0.0014955079641288717
Austria,Charcoal,2020,0.000216957174976848
Austria,Charcoal,2021,0.00022013083686593998
Austria,Electricity,2020,0.03963494063711937
Austria,Electricity,2021,0.04160394663024308
Austria,Geothermal,2020,0.0004155888294503524
Austria,Geothermal,2021,0.00039959144915112615
Austria,GrandTotal,2020,0.1875022942456438
Austria,GrandTotal,2021,0.19885559404363887
Austria,Heat,2020,0.008655129895867184
Austria,Heat,2021,0.009423887155447619
Austria,Hydropower,2020,0.03469421030132088
Austria,Hydropower,2021,0.03336350566153671
Austria,Liquid Biofuels,2020,0.008395832936427422
Austria,Liquid Biofuels,2021,0.00937599276803921
Austria,Other RE,2020,0.007668463974815465
Austria,Other RE,2021,0.008282305663448578
Austria,Pellets,2020,0.006095826549142361
Austria,Pellets,2021,0.0074398559050229875
Austria,RenWaste,2020,0.002349108002537819
Austria,RenWaste,2021,0.002651384723398057
Austria,Solar PV,2020,0.0016876501543932594
Austria,Solar PV,2021,0.002395720549124368
Austria,Solar Thermal,2020,0.003507538080560077
Austria,Solar Thermal,2021,0.0033987692248340523
Austria,Solid Biofuels,2020,0.06704188793380109
Austria,Solid Biofuels,2021,0.0730020610269077
Austria,Wind,2020,0.005610424347502492
Austria,Wind,2021,0.0058029344908994305
Belgium,Biogas,2020,0.0032036442048835427
Belgium,Biogas,2021,0.0031687707541912615
Belgium,Charcoal,2020,0.00036465861224556
Belgium,Charcoal,2021,0.0005804491018889999
Belgium,Electricity,2020,0.01722014222413139
Belgium,Electricity,2021,0.014841712025877711
Belgium,Geothermal,2020,2.0521764004777766e-05
Belgium,Geothermal,2021,2.3431149779700212e-05
Belgium,GrandTotal,2020,0.08156518997508758
Belgium,GrandTotal,2021,0.08394769781813526
Belgium,Heat,2020,0.0003815397612501165
Belgium,Heat,2021,0.0005204985203324091
Belgium,Hydropower,2020,0.00023789916313105738
Belgium,Hydropower,2021,0.0003494107155043619
Belgium,Liquid Biofuels,2020,0.013722063224252365
Belgium,Liquid Biofuels,2021,0.015118423068024328
Belgium,Other RE,2020,0.0025499019090520795
Belgium,Other RE,2021,0.0036840404254209593
Belgium,Pellets,2020,0.0066178999343567205
Belgium,Pellets,2021,0.006595111947994055
Belgium,RenWaste,2020,0.0027660021193608676
Belgium,RenWaste,2021,0.002884858944071934
Belgium,Solar PV,2020,0.004556718253839403
Belgium,Solar PV,2021,0.004695107248900951
Belgium,Solar Thermal,2020,0.00052287873632976
Belgium,Solar Thermal,2021,0.0005042210304026399
Belgium,Solid Biofuels,2020,0.017975564306503558
Belgium,Solid Biofuels,2021,0.020955138137561852
Belgium,Wind,2020,0.01142575576051573
Belgium,Wind,2021,0.010026524755804353
Bulgaria,Biogas,2020,0.0004190426918171198
Bulgaria,Biogas,2021,0.0004826333442769549
Bulgaria,Charcoal,2020,6.5269562818992e-05
Bulgaria,Charcoal,2021,7.518422762456479e-05
Bulgaria,Electricity,2020,0.004194075390041419
Bulgaria,Electricity,2021,0.005064420352754828
Bulgaria,Geothermal,2020,0.0006921407037479999
Bulgaria,Geothermal,2021,0.0006998315675410848
Bulgaria,GrandTotal,2020,0.04277437862636703
Bulgaria,GrandTotal,2021,0.045250540318845976
Bulgaria,Heat,2020,0.0008186079860027037
Bulgaria,Heat,2021,0.0011297249464115586
Bulgaria,Hydropower,2020,0.0021010707309258242
Bulgaria,Hydropower,2021,0.0034536862444279207
Bulgaria,Liquid Biofuels,2020,0.0033351031295282578
Bulgaria,Liquid Biofuels,2021,0.003247113527267071
